frame,x1,y1,x2,y2,confidence,class
22,820,153,856,194,0.9091,player
22,1706,331,1742,392,0.9061,player
22,1675,468,1704,529,0.9018,player
22,1139,358,1167,414,0.8918,player
22,981,153,1009,199,0.8914,player
22,746,391,770,447,0.8859,player
22,1493,234,1519,284,0.8804,player
22,976,271,996,330,0.8748,player
22,920,206,951,251,0.866,player
23,268,747,317,824,0.9307,player
23,311,412,347,466,0.9257,player
23,575,107,610,154,0.9233,player
23,781,249,819,301,0.9205,player
23,1107,479,1140,541,0.9198,player
23,427,200,468,256,0.9195,player
23,297,492,345,554,0.9195,player
23,1321,808,1369,878,0.9163,player
23,710,344,745,399,0.9119,player
23,974,271,1003,331,0.909,player
23,334,366,373,420,0.9063,player
23,889,161,926,209,0.9033,player
23,813,154,854,196,0.9033,player
23,1674,468,1701,529,0.902,player
23,1710,332,1738,393,0.8978,player
23,1493,234,1520,284,0.897,player
23,979,153,1012,200,0.8932,player
23,824,568,867,632,0.8929,player
23,918,206,955,252,0.8887,player
23,748,390,771,447,0.8648,player
23,1140,358,1164,415,0.3009,player
24,300,491,347,552,0.9324,player
24,268,743,319,817,0.931,player
24,1103,480,1141,542,0.9215,player
24,577,109,613,153,0.92,player
24,748,388,776,447,0.919,player
24,815,155,849,201,0.9168,player
24,1320,807,1366,876,0.9167,player
24,710,342,747,396,0.9151,player
24,314,412,352,466,0.9149,player
24,778,250,820,298,0.9148,player
24,428,202,470,257,0.9138,player
24,1494,234,1522,284,0.9137,player
24,975,272,1007,332,0.9118,player
24,980,154,1015,199,0.9093,player
24,818,568,859,632,0.9077,player
24,1673,468,1700,529,0.9032,player
24,333,365,369,421,0.9029,player
24,890,163,924,210,0.9021,player
24,1710,334,1733,393,0.8861,player
24,917,206,954,253,0.8802,player
25,267,740,322,809,0.9263,player
25,303,490,345,551,0.9241,player
25,748,384,780,446,0.9228,player
25,1104,480,1137,541,0.9224,player
25,430,205,470,261,0.9203,player
25,314,409,359,467,0.9186,player
25,1491,234,1524,285,0.9185,player
25,1142,361,1168,415,0.9156,player
25,818,566,851,632,0.915,player
25,1319,805,1364,877,0.9124,player
25,1672,468,1703,529,0.912,player
25,579,110,616,155,0.9113,player
25,709,342,749,397,0.9095,player
25,776,251,818,300,0.9083,player
25,816,158,841,202,0.9083,player
25,978,274,1013,332,0.9064,player
25,1709,334,1730,395,0.8966,player
25,977,155,1016,199,0.8925,player
25,335,365,374,421,0.8875,player
25,921,209,952,255,0.8857,player
25,890,165,919,213,0.8556,player
25,497,81,518,126,0.6754,player
26,983,275,1018,333,0.93,player
26,1671,468,1704,530,0.92,player
26,1490,237,1524,286,0.9167,player
26,746,385,784,445,0.9167,player
26,270,737,317,806,0.9162,player
26,708,342,746,397,0.9154,player
26,816,565,855,631,0.9126,player
26,1144,361,1170,414,0.9106,player
26,319,409,363,462,0.909,player
26,1107,481,1137,541,0.9084,player
26,1320,802,1362,876,0.9081,player
26,814,157,839,202,0.9081,player
26,307,489,337,551,0.9036,player
26,1707,334,1733,396,0.9034,player
26,580,112,615,156,0.9033,player
26,775,253,811,303,0.8957,player
26,434,205,460,260,0.8948,player
26,978,157,1013,201,0.8922,player
26,335,364,382,421,0.8821,player
26,890,166,917,213,0.8758,player
26,924,212,950,258,0.8604,player
26,499,80,526,126,0.7378,player
27,814,563,859,630,0.9267,player
27,1666,468,1705,530,0.923,player
27,1143,359,1174,415,0.9228,player
27,1699,335,1734,397,0.9176,player
27,1322,799,1363,873,0.9166,player
27,273,733,312,804,0.9163,player
27,1489,239,1523,289,0.916,player
27,324,400,368,461,0.9158,player
27,811,158,844,204,0.9136,player
27,747,387,787,444,0.9126,player
27,988,276,1023,335,0.9105,player
27,774,253,804,303,0.9079,player
27,312,489,340,549,0.9061,player
27,891,169,922,214,0.9005,player
27,438,207,466,261,0.9004,player
27,712,344,751,399,0.8997,player
27,977,158,1009,203,0.8957,player
27,1109,481,1133,541,0.8918,player
27,584,115,617,158,0.8813,player
27,336,364,386,414,0.8658,player
27,924,213,947,259,0.8127,player
27,504,86,533,129,0.5136,player
28,1693,335,1734,398,0.9311,player
28,1139,361,1177,416,0.9297,player
28,811,562,859,624,0.9285,player
28,1661,469,1705,529,0.921,player
28,274,731,306,801,0.9207,player
28,1322,797,1364,871,0.9198,player
28,804,159,845,204,0.9179,player
28,329,401,368,456,0.9156,player
28,888,170,925,215,0.9155,player
28,318,487,345,549,0.9101,player
28,993,277,1026,335,0.9087,player
28,772,255,801,303,0.9054,player
28,716,345,750,399,0.9003,player
28,1106,482,1128,541,0.8975,player
28,1492,242,1519,291,0.8937,player
28,442,207,468,260,0.8881,player
28,978,160,1002,207,0.8868,player
28,337,364,387,411,0.8736,player
28,751,388,787,446,0.8572,player
28,923,214,949,260,0.852,player
28,585,118,619,160,0.8495,player
29,1691,337,1733,398,0.9311,player
29,276,726,310,799,0.9271,player
29,811,562,856,622,0.9249,player
29,1142,361,1179,417,0.9227,player
29,1325,794,1366,870,0.9209,player
29,332,402,367,456,0.9165,player
29,769,255,804,305,0.9158,player
29,923,216,954,261,0.9154,player
29,1662,470,1704,531,0.9129,player
29,446,207,474,263,0.912,player
29,1105,481,1131,541,0.9087,player
29,999,279,1028,335,0.9081,player
29,319,484,352,547,0.9073,player
29,803,162,841,204,0.9035,player
29,888,172,927,217,0.897,player
29,718,346,745,400,0.8929,player
29,976,162,999,207,0.8895,player
29,338,365,382,410,0.8873,player
29,587,120,617,161,0.8783,player
29,1493,245,1516,294,0.8782,player
29,756,388,781,444,0.5927,player
30,276,721,316,795,0.9319,player
30,1327,793,1368,867,0.9256,player
30,1692,339,1732,399,0.9224,player
30,812,561,847,623,0.9173,player
30,320,482,359,546,0.9157,player
30,765,255,806,303,0.9156,player
30,449,207,481,264,0.9156,player
30,922,217,957,260,0.9154,player
30,1147,364,1179,418,0.9137,player
30,1103,480,1134,540,0.9129,player
30,1004,279,1029,336,0.9023,player
30,1664,472,1700,531,0.902,player
30,805,163,835,207,0.9,player
30,336,405,368,455,0.8982,player
30,718,345,743,399,0.8966,player
30,973,163,1005,208,0.8939,player
30,1492,247,1514,295,0.8893,player
30,590,123,623,163,0.8889,player
30,889,174,927,217,0.887,player
30,340,366,377,413,0.8844,player
30,1452,1044,1484,1079,0.263,player
31,275,717,321,786,0.9379,player
31,1329,793,1369,865,0.9328,player
31,321,480,364,541,0.9291,player
31,1102,480,1135,538,0.9235,player
31,450,207,487,263,0.921,player
31,973,165,1006,208,0.9156,player
31,811,561,841,622,0.9149,player
31,1696,341,1728,400,0.9092,player
31,760,256,803,303,0.9078,player
31,1150,367,1171,419,0.907,player
