player_id,frame,view,x1,y1,x2,y2
269,14,broadcast,1536,715,1642,835
270,16,tacticam,951,268,986,328
270,14,broadcast,1536,715,1642,835
271,16,tacticam,1671,462,1702,525
271,14,broadcast,1536,715,1642,835
272,16,tacticam,290,505,337,569
272,14,broadcast,1598,555,1664,673
257,16,tacticam,294,420,324,481
273,16,tacticam,834,146,872,189
273,16,broadcast,642,737,690,864
274,16,tacticam,1487,226,1520,276
274,14,broadcast,1536,715,1642,835
246,16,tacticam,915,199,952,246
275,16,tacticam,742,384,774,450
276,16,tacticam,1110,480,1148,541
276,14,broadcast,1598,555,1664,673
249,16,tacticam,1313,808,1348,886
246,16,tacticam,417,201,462,258
264,16,tacticam,1134,351,1159,408
277,16,tacticam,557,94,589,144
277,14,broadcast,1536,715,1642,835
278,16,tacticam,710,340,746,397
278,14,broadcast,1598,555,1664,673
279,16,tacticam,335,364,369,417
280,16,tacticam,843,573,878,639
280,16,broadcast,1658,452,1713,537
281,16,tacticam,887,155,924,205
282,16,tacticam,800,246,831,298
282,17,broadcast,1308,492,1350,563
283,16,tacticam,991,148,1020,193
265,16,tacticam,1711,325,1735,388
284,17,tacticam,277,768,326,844
284,15,broadcast,1534,715,1639,837
285,17,tacticam,741,384,778,449
282,17,tacticam,1134,350,1163,408
286,17,tacticam,1310,808,1352,885
286,15,broadcast,1534,715,1639,837
287,17,tacticam,1672,463,1706,526
287,15,broadcast,637,739,690,866
288,17,tacticam,918,201,950,248
288,15,broadcast,1270,473,1338,564
288,17,tacticam,335,364,372,417
289,17,tacticam,1109,480,1146,542
289,15,broadcast,1598,560,1672,665
287,17,tacticam,1711,325,1740,388
280,17,tacticam,1487,227,1522,278
290,17,tacticam,829,147,869,187
290,15,broadcast,637,739,690,866
273,17,tacticam,296,418,332,478
290,17,tacticam,957,271,989,327
291,17,tacticam,292,504,334,567
291,15,broadcast,1598,560,1672,665
292,17,tacticam,417,201,460,258
292,15,broadcast,1598,560,1672,665
293,17,tacticam,796,245,835,295
288,17,tacticam,990,148,1023,193
280,17,tacticam,560,97,592,155
294,17,tacticam,709,340,747,396
294,15,broadcast,1598,560,1672,665
295,17,tacticam,841,573,871,638
295,15,broadcast,637,739,690,866
296,17,tacticam,890,157,920,206
296,15,broadcast,1270,473,1338,564
297,17,tacticam,1673,456,1709,539
297,15,broadcast,1534,715,1639,837
298,18,tacticam,275,765,327,836
298,16,broadcast,1534,716,1629,837
299,18,tacticam,1309,808,1357,885
299,16,broadcast,1534,716,1629,837
300,18,tacticam,298,415,337,476
300,16,broadcast,642,737,690,864
301,18,tacticam,739,387,781,447
301,17,broadcast,1819,593,1879,699
302,18,tacticam,1670,463,1710,526
302,16,broadcast,1534,716,1629,837
303,18,tacticam,1133,351,1166,410
303,16,broadcast,1562,494,1615,590
304,18,tacticam,829,148,864,190
304,16,broadcast,1534,716,1629,837
305,18,tacticam,334,364,379,416
305,16,broadcast,1278,473,1336,564
303,18,tacticam,289,504,330,567
306,18,tacticam,791,245,835,296
306,16,broadcast,1562,494,1615,590
307,18,tacticam,1489,229,1524,280
307,16,broadcast,1534,716,1629,837
308,18,tacticam,1706,325,1743,389
308,16,broadcast,1534,716,1629,837
309,18,tacticam,839,572,875,639
309,20,broadcast,1543,707,1634,834
306,18,tacticam,1111,481,1144,544
310,18,tacticam,564,99,591,157
310,18,broadcast,1512,437,1569,523
310,18,tacticam,962,271,989,327
311,18,tacticam,920,201,948,250
311,19,broadcast,1562,487,1613,579
311,18,tacticam,985,149,1023,193
306,18,tacticam,707,341,746,397
312,18,tacticam,416,201,457,258
312,16,broadcast,1278,473,1336,564
311,18,tacticam,890,158,916,205
309,19,tacticam,301,414,340,472
309,19,tacticam,276,764,323,832
313,19,tacticam,739,390,781,446
309,19,tacticam,835,570,877,637
314,19,tacticam,334,365,382,417
314,17,broadcast,1603,560,1661,664
315,19,tacticam,1313,808,1360,884
315,17,broadcast,1534,715,1619,840
316,19,tacticam,1668,463,1711,527
316,17,broadcast,1534,715,1619,840
317,19,tacticam,1131,352,1168,412
317,19,broadcast,1562,487,1613,579
318,19,tacticam,829,150,859,192
318,17,broadcast,1655,452,1717,532
310,19,tacticam,1702,326,1745,390
319,19,tacticam,789,247,832,297
319,17,broadcast,1655,452,1717,532
317,19,tacticam,291,503,327,567
320,19,tacticam,711,343,749,398
320,21,broadcast,1618,559,1671,670
317,19,tacticam,418,200,452,258
321,19,tacticam,984,150,1023,195
321,18,broadcast,1290,471,1361,563
322,19,tacticam,968,270,989,328
323,19,tacticam,567,101,592,156
324,19,tacticam,920,203,945,249
325,19,tacticam,1492,231,1521,281
325,17,broadcast,1655,452,1717,532
320,19,tacticam,1114,482,1141,543
317,19,tacticam,890,158,917,205
326,19,tacticam,481,73,508,120
327,20,tacticam,333,364,387,418
327,18,broadcast,1290,471,1361,563
328,20,tacticam,305,413,342,468
328,18,broadcast,1647,452,1716,530
310,20,tacticam,1318,808,1366,883
310,20,tacticam,1700,327,1747,389
317,20,tacticam,421,199,456,258
329,20,tacticam,827,569,880,632
329,18,broadcast,1647,452,1716,530
330,20,tacticam,743,391,781,447
331,20,tacticam,1671,464,1711,527
331,18,broadcast,1647,452,1716,530
317,20,tacticam,786,247,826,299
332,20,tacticam,1132,355,1168,413
309,20,tacticam,272,760,315,831
317,20,tacticam,710,344,747,398
317,20,tacticam,291,500,328,565
317,20,tacticam,986,152,1018,198
333,20,tacticam,569,103,593,154
333,18,broadcast,1647,452,1716,530
334,20,tacticam,972,271,989,328
334,20,broadcast,1663,452,1693,535
334,20,tacticam,827,150,850,193
335,20,tacticam,1493,233,1520,283
335,18,broadcast,1647,452,1716,530
317,20,tacticam,890,158,920,205
336,20,tacticam,1113,483,1136,542
336,19,broadcast,1616,564,1650,668
337,20,tacticam,920,205,945,250
338,21,tacticam,307,411,346,467
338,19,broadcast,1541,709,1623,840
339,21,tacticam,422,199,460,257
339,19,broadcast,1295,470,1371,562
340,21,tacticam,823,568,880,631
340,19,broadcast,1541,709,1623,840
341,21,tacticam,1701,328,1745,391
341,19,broadcast,1513,437,1575,524
342,21,tacticam,268,757,308,830
342,19,broadcast,1541,709,1623,840
339,21,tacticam,334,365,387,418
343,21,tacticam,1323,808,1368,883
343,19,broadcast,1541,709,1623,840
320,21,tacticam,293,496,334,564
344,21,tacticam,571,105,600,152
344,22,broadcast,1536,705,1605,822
317,21,tacticam,889,157,923,205
345,21,tacticam,784,249,816,301
345,19,broadcast,1562,487,1613,579
334,21,tacticam,974,271,992,329
345,21,tacticam,708,345,742,398
345,21,tacticam,1108,482,1135,544
344,21,tacticam,1674,466,1709,528
346,21,tacticam,748,392,777,447
347,21,tacticam,824,151,855,193
347,19,broadcast,1513,437,1575,524
348,21,tacticam,984,152,1011,198
349,21,tacticam,1138,356,1167,413
350,21,tacticam,1493,234,1518,283
350,20,broadcast,1543,707,1634,834
351,21,tacticam,919,204,947,250
352,21,tacticam,486,77,517,122
353,22,tacticam,310,413,347,466
353,20,broadcast,1543,707,1634,834
354,22,tacticam,782,249,816,301
354,20,broadcast,1299,471,1380,561
344,22,tacticam,269,753,311,829
355,22,tacticam,424,200,465,255
355,20,broadcast,1299,471,1380,561
320,22,tacticam,1107,480,1138,542
356,22,tacticam,823,569,875,632
356,20,broadcast,1543,707,1634,834
320,22,tacticam,295,493,340,563
320,22,tacticam,710,344,742,399
357,22,tacticam,1324,807,1369,881
357,20,broadcast,1543,707,1634,834
358,22,tacticam,334,367,380,419
358,20,broadcast,1299,471,1380,561
359,22,tacticam,575,106,604,153
359,20,broadcast,1543,707,1634,834
360,22,tacticam,889,159,926,208
360,20,broadcast,1299,471,1380,561
361,22,tacticam,820,153,856,194
361,20,broadcast,1543,707,1634,834
362,22,tacticam,1706,331,1742,392
362,20,broadcast,1514,438,1573,525
344,22,tacticam,1675,468,1704,529
320,22,tacticam,1139,358,1167,414
363,22,tacticam,981,153,1009,199
364,22,tacticam,746,391,770,447
365,22,tacticam,1493,234,1519,284
365,20,broadcast,1543,707,1634,834
334,22,tacticam,976,271,996,330
366,22,tacticam,920,206,951,251
367,23,tacticam,268,747,317,824
367,21,broadcast,1543,705,1640,827
368,23,tacticam,311,412,347,466
368,22,broadcast,1536,705,1605,822
369,23,tacticam,575,107,610,154
369,21,broadcast,1543,705,1640,827
370,23,tacticam,781,249,819,301
370,21,broadcast,1304,473,1382,565
371,23,tacticam,1107,479,1140,541
372,23,tacticam,427,200,468,256
372,21,broadcast,1304,473,1382,565
373,23,tacticam,297,492,345,554
373,21,broadcast,866,614,945,710
374,23,tacticam,1321,808,1369,878
374,21,broadcast,1543,705,1640,827
375,23,tacticam,710,344,745,399
375,21,broadcast,1549,490,1617,581
376,23,tacticam,974,271,1003,331
377,23,tacticam,334,366,373,420
377,23,broadcast,1313,476,1378,564
377,23,tacticam,889,161,926,209
378,23,tacticam,813,154,854,196
378,21,broadcast,1543,705,1640,827
